size,time_micros
500,372
600,376
700,464
800,389
900,448
1000,488
1100,572
1200,700
1300,664
1400,826
1500,774
1600,837
1700,1019
1800,1070
1900,1142
2000,1210
2100,1280
2200,1318
2300,1394
2400,1468
2500,1340
2600,1413
2700,1470
2800,1506
2900,1576
3000,1613
3100,1681
3200,1739
3300,1801
3400,1876
3500,2298
3600,2507
3700,2510
3800,2810
3900,2927
4000,2182
4100,2255
4200,2316
4300,2386
4400,2412
4500,2937
4600,3784
4700,4405
4800,3631
4900,3163
5000,3241
5100,3478
5200,3525
5300,3362
5400,3055
5500,3112
5600,3175
5700,3229
5800,3789
5900,3784
6000,3816
6100,3490
6200,4096
6300,4130
6400,4232
6500,4312
6600,4419
6700,4437
6800,5607
6900,5846
7000,5579
7100,4540
7200,4111
7300,4164
7400,4221
7500,4305
7600,4328
7700,4451
7800,4459
7900,4535
8000,4624
8100,4663
8200,4769
8300,5558
8400,5674
8500,5150
8600,5000
8700,5059
8800,5789
8900,5343
9000,5534
9100,5327
9200,5304
9300,5463
9400,5717
9500,6423
9600,5819
9700,7603
9800,8064
9900,7024
10000,5821
10100,6228
10200,6187
10300,8067
10400,8086
10500,8167
10600,6662
10700,6318
10800,7201
10900,6451
11000,7208
11100,6623
11200,7064
11300,6804
11400,6895
11500,6998
11600,6987
11700,7322
11800,7396
11900,7372
12000,7437
12100,7432
12200,7607
12300,8265
12400,10560
12500,9386
12600,7979
12700,8799
12800,8172
12900,8468
13000,8184
13100,8361
13200,8204
13300,8650
13400,8553
13500,8907
13600,9276
13700,8587
13800,8870
13900,8894
14000,9480
14100,9109
14200,8523
14300,9270
14400,12244
14500,12224
14600,11000
14700,10945
14800,9870
14900,9678
15000,9489
15100,9543
15200,9977
15300,9131
15400,12290
15500,12747
15600,10430
15700,9942
15800,9988
15900,9690
16000,9923
16100,9864
16200,9818
16300,10088
16400,10467
16500,10015
16600,10525
16700,13634
16800,14229
16900,13135
17000,14155
17100,11954
17200,11629
17300,11758
17400,12283
17500,12261
17600,11596
17700,12440
17800,11781
17900,11871
18000,11143
18100,11359
18200,11635
18300,11195
18400,11632
18500,11247
18600,12006
18700,11580
18800,14924
18900,15589
19000,14671
19100,15085
19200,12321
19300,12721
19400,14556
19500,15228
19600,12503
19700,12653
19800,12209
19900,12903
20000,12782
20100,15825
20200,15610
20300,13140
20400,13457
20500,13293
20600,13225
20700,13501
20800,13504
20900,14137
21000,15017
21100,15072
21200,13158
21300,13662
21400,13230
21500,14088
21600,14483
21700,14415
21800,14318
21900,13650
22000,14581
22100,14291
22200,14851
22300,14459
22400,16051
22500,19227
22600,14836
22700,16452
22800,16471
22900,15491
23000,15352
23100,14732
23200,14642
23300,15202
23400,15333
23500,15783
23600,18871
23700,18033
23800,15402
23900,16818
24000,19618
24100,16883
24200,15791
24300,15621
24400,16389
24500,16010
24600,16124
24700,16383
24800,16010
24900,15587
25000,16125
25100,16348
25200,16826
25300,17237
25400,16988
25500,17106
25600,17058
25700,16259
25800,16749
25900,17188
26000,17042
26100,17166
26200,17482
26300,17324
26400,17231
26500,17067
26600,17459
26700,17591
26800,22617
26900,21329
27000,20636
27100,17665
27200,18008
27300,18185
27400,18160
27500,18333
27600,23415
27700,19675
27800,18451
27900,18210
28000,18549
28100,17591
28200,19273
28300,23255
28400,18770
28500,19325
28600,19037
28700,19657
28800,18712
28900,19146
29000,19186
29100,24768
29200,24282
29300,21828
29400,19453
29500,19019
29600,19544
29700,19406
29800,18835
29900,19752
30000,19361
30100,19890
30200,20034
30300,20522
30400,20234
30500,23323
30600,23686
30700,20373
30800,20525
30900,20464
31000,26386
31100,21126
31200,20638
31300,20776
31400,20934
31500,20887
31600,26407
31700,22337
31800,21242
31900,21384
32000,21120
32100,21747
32200,21689
32300,22320
32400,23650
32500,23673
32600,21022
32700,21652
32800,21853
32900,24273
33000,26762
33100,22790
33200,22320
33300,22233
33400,22900
33500,28615
33600,24241
33700,22561
33800,22727
33900,22253
34000,22328
34100,22387
34200,28708
34300,25405
34400,22828
34500,22954
34600,23610
34700,23107
34800,24808
34900,25533
35000,25708
35100,25701
35200,23587
35300,23433
35400,23577
35500,24057
35600,24220
35700,23628
35800,23733
35900,32289
36000,29564
36100,24464
36200,27692
36300,28553
36400,24212
36500,24380
36600,24670
36700,24905
36800,25056
36900,25154
37000,26682
37100,31581
37200,30312
37300,24789
37400,25170
37500,25070
37600,25073
37700,25467
37800,32520
37900,26570
38000,29308
38100,29688
38200,25423
38300,25757
38400,26070
38500,28899
38600,32609
38700,29032
38800,26584
38900,26054
39000,31022
39100,29311
39200,26267
39300,26576
39400,26891
39500,26736
39600,27241
39700,27066
39800,34483
39900,27463
40000,27254
40100,27036
40200,27357
40300,27597
40400,35204
40500,27594
40600,27559
40700,28118
40800,29775
40900,28072
41000,27618
41100,27699
41200,28058
41300,28206
41400,28312
41500,28551
41600,28461
41700,32728
41800,33572
41900,31293
42000,31998
42100,32079
42200,28916
42300,28915
42400,29164
42500,36614
42600,36295
42700,104393
42800,73851
42900,68224
43000,53492
43100,32516
43200,28010
43300,27992
43400,28185
43500,28234
43600,30728
43700,33862
43800,29644
43900,29514
44000,29993
44100,30662
44200,31082
44300,30986
44400,37076
44500,39414
44600,30698
44700,31012
44800,30231
44900,31474
45000,30966
45100,31595
45200,31330
45300,31143
45400,41063
45500,39100
45600,31966
45700,31950
45800,32038
45900,31729
46000,31969
46100,38042
46200,42199
46300,32654
46400,32554
46500,32024
46600,39642
46700,34104
46800,32768
46900,44091
47000,37943
47100,34533
47200,30823
47300,32522
47400,33097
47500,39165
47600,33853
47700,41400
47800,32909
47900,32976
48000,33828
48100,35266
48200,35868
48300,493222547
48400,168898
48500,133202
48600,60380
48700,86865
48800,39551
48900,42218
49000,52202
49100,58566
49200,44134
49300,43933
49400,45852
49500,44888
49600,44272
49700,44102
49800,44414
49900,44470
50000,200332
50100,39852
50200,151663
50300,135937
50400,103354
50500,67382
50600,58080
50700,39106
50800,57783
50900,38835
51000,49761
51100,36886
51200,39814
51300,47471
51400,43450
51500,62447
51600,39629
51700,39173
51800,42653
51900,41525
52000,37015
52100,39888
52200,43114
52300,49153
52400,39430
52500,39824
52600,37125
52700,34635
52800,36841
52900,37917
53000,46831
53100,37685
53200,35366
53300,37181
53400,40020
53500,45123
53600,40963
53700,40665
53800,37200
53900,56725
54000,42468
54100,40944
54200,48737
54300,44875
54400,37711
54500,37994
54600,42839
54700,41998
54800,37541
54900,37973
55000,46411
55100,38091
55200,38831
55300,44105
55400,37833
55500,38436
55600,39094
55700,38079
55800,44370
55900,39722
56000,47488
56100,38487
56200,38450
56300,42423
56400,47239
56500,39321
56600,39824
56700,47151
56800,41888
56900,44745
57000,39444
57100,39581
57200,38693
57300,42356
57400,39030
57500,46694
57600,40730
57700,44819
57800,39634
57900,37872
58000,38880
58100,52596
58200,44978
58300,41053
58400,39903
58500,49733
58600,40081
58700,41580
58800,40761
58900,40034
59000,41083
59100,40803
59200,39638
59300,40393
59400,41303
59500,40607
59600,41185
59700,40781
59800,41841
59900,41414
60000,40383
60100,42239
60200,40956
60300,41092
60400,42179
60500,42067
60600,41018
60700,42411
60800,42300
60900,41247
61000,41089
61100,49499
61200,42052
61300,51285
61400,52197
61500,42036
61600,51463
61700,48440
61800,52913
61900,43053
62000,49823
62100,43084
62200,52658
62300,45186
62400,44268
62500,42144
62600,52084
62700,51523
62800,44493
62900,43081
63000,44523
63100,43440
63200,46816
63300,49808
63400,43812
63500,51464
63600,44343
63700,52929
63800,44144
63900,44658
64000,44924
64100,45074
64200,44535
64300,44464
64400,44427
64500,44229
64600,45499
64700,44768
64800,45018
64900,50942
65000,55088
65100,51007
65200,45121
65300,49451
65400,63290
65500,59326
65600,63356
65700,74784
65800,54803
65900,53285
66000,60074
66100,60838
66200,64004
66300,51449
66400,64225
66500,57332
66600,54454
66700,53363
66800,69597
66900,60441
67000,56147
67100,54000
67200,69543
67300,54315
67400,53338
67500,56032
67600,53324
67700,55052
67800,53985
67900,61547
68000,52431
68100,76925
68200,59285
68300,65536
68400,54452
68500,68141
68600,67785
68700,67960
68800,54837
68900,64005
69000,62814
69100,59331
69200,56396
69300,65862
69400,57203
69500,57507
69600,56905
69700,55489
69800,61840
69900,54757
70000,57860
70100,58057
70200,60708
70300,60659
70400,64781
70500,67666
70600,60609
70700,56532
70800,55897
70900,67966
71000,77919
71100,73924
71200,54891
71300,76841
71400,53895
71500,62931
71600,70501
71700,62486
71800,59737
71900,76138
72000,56245
72100,62014
72200,79926
72300,68575
72400,62182
72500,57646
72600,57832
72700,57930
72800,65791
72900,80884
73000,61289
73100,65523
73200,61672
73300,65115
73400,64572
73500,58936
73600,68252
73700,56253
73800,71179
73900,58401
74000,63688
74100,67729
74200,69078
74300,60016
74400,69103
74500,75624
74600,71231
74700,63725
74800,64671
74900,68156
75000,63626
75100,63792
75200,60268
75300,71004
75400,74901
75500,66446
75600,70499
75700,70644
75800,61946
75900,54997
76000,52103
76100,54736
76200,52667
76300,53422
76400,61310
76500,61798
76600,62435
76700,53218
76800,53365
76900,54323
77000,53659
77100,53716
77200,54152
77300,62391
77400,63766
77500,59381
77600,53677
77700,54812
77800,54104
77900,55638
78000,59567
78100,54243
78200,55586
78300,54427
78400,54292
78500,55822
78600,61345
78700,54768
78800,54871
78900,56428
79000,55020
79100,55170
79200,60159
79300,57595
79400,55127
79500,56762
79600,69093
79700,55110
79800,56557
79900,60291
80000,66713
80100,63859
80200,55696
80300,57591
80400,56443
80500,56736
80600,56588
80700,66414
80800,60650
80900,56179
81000,56607
81100,56976
81200,59767
81300,58237
81400,64146
81500,57293
81600,57904
81700,57887
81800,57140
81900,57825
82000,65464
82100,58011
82200,63999
82300,58076
82400,57914
82500,66773
82600,59477
82700,57787
82800,59066
82900,58386
83000,58572
83100,59130
83200,58197
83300,58191
83400,59124
83500,58426
83600,64027
83700,62545
83800,63148
83900,64754
84000,59310
84100,60124
84200,71971
84300,64322
84400,60782
84500,58860
84600,60602
84700,60092
84800,65893
84900,60878
85000,68396
85100,61211
85200,59737
85300,60882
85400,63665
85500,62401
85600,61225
85700,61342
85800,62128
85900,60614
86000,60691
86100,61026
86200,60889
86300,62873
86400,73775
86500,61543
86600,61576
86700,60684
86800,62708
86900,71489
87000,67011
87100,65676
87200,70383
87300,61978
87400,61314
87500,62473
87600,61742
87700,62697
87800,62027
87900,69788
88000,62049
88100,62521
88200,70039
88300,62514
88400,71115
88500,62375
88600,75057
88700,64101
88800,63327
88900,63375
89000,71633
89100,72048
89200,63314
89300,63649
89400,63633
89500,62973
89600,71605
89700,63916
89800,72584
89900,67486
90000,64355
90100,70973
90200,63828
90300,64964
90400,64020
90500,65097
90600,66996
90700,68671
90800,64106
90900,65420
91000,67156
91100,68996
91200,65733
91300,70255
91400,73948
91500,65438
91600,73152
91700,64985
91800,65337
91900,74348
92000,64942
92100,74255
92200,69625
92300,76029
92400,69095
92500,71473
92600,79560
92700,66680
92800,66094
92900,66877
93000,69571
93100,72899
93200,66914
93300,70113
93400,79797
93500,69672
93600,71679
93700,67553
93800,75300
93900,66927
94000,76989
94100,72187
94200,71426
94300,66838
94400,67948
94500,67038
94600,67436
94700,70513
94800,71208
94900,68186
95000,67268
95100,69061
95200,67875
95300,68164
95400,68486
95500,75011
95600,69024
95700,73810
95800,80475
95900,68621
96000,69630
96100,68047
96200,70703
96300,68865
96400,76199
96500,76804
96600,69418
96700,69042
96800,70054
96900,69236
97000,70570
97100,69131
97200,72186
97300,72598
97400,70449
97500,71136
97600,76920
97700,78538
97800,70151
97900,70541
98000,70410
98100,71025
98200,78247
98300,71000
98400,70242
98500,70428
98600,70743
98700,80255
98800,78236
98900,70685
99000,79085
99100,71251
99200,71726
99300,70281
99400,71336
99500,71202
99600,71438
99700,77414
99800,79950
99900,71136
100000,71541
